;Nombre;Nombre 1;Nombre 2;;Nombre;Tesis;Keywords;Resumen;Fecha;Año;Idioma;Citas;Director;;Director;Codirector;Codirector;Grupo de Investigación
1; Becerra Fernández, Mauricio;Becerra-Fernández, Mauricio;Becerra-Fernández, Ma;Becerra-Fernández, Ma.;Becerra-Fernández, Ma.; Modelo para el cálculo de capacidades operativas en empresas prestadoras de servicios empleando dinámica de sistemas;"Programación – Administración
 Administración de la producción
 Industrias de servicios
 Planificación empresarial";La planeación de la capacidad constituye uno de los elementos críticos en las decisiones empresariales a cualquier nivel, ya que por medio de su correcta configuración y asignación se logra responder a las necesidades fluctuantes del mercado. En los procesos de planeación y programación de la capacidad de los sistemas productivos, como en la mayoría de las decisiones en el campo ingeniería industrial, no se puede dejar a un lado los costos relacionados con una configuración u otra, la elación entre las variables de asignación de recursos y la respuesta a los requerimientos de los clientes, constituyen el fundamento de los modelos aplicados en los procesos relacionados con las capacidades en los sistemas organizacionales. El modelo desarrollado en esta investigación se fundamentó en el estudio de la detección del requerimiento de capacidad operativa desde la perspectiva de la asignación de mano de obra e instalaciones, a partir de información suministrada por una empresa del sector bancario de Colombia y dada su importante participación en la economía nacional;2012;2012;Español;0;Orjuela Castro, Javier;Orjuela-Castro, Javier;Orjuela-Castro, Ja.;;;Grupo de Investigación en Competitividad dela Industria Colombiana - GICIC
2;Castellanos Ruiz, José Hugo;Castellanos-Ruiz, José Hugo;Castellanos-Ruiz, Jo;Castellanos-Ruiz, Jo.;Castellanos-Ruiz, Jo.;Modelado de gestión de inventarios empleando desfase para optimizar la utilización de área restringida de almacenamiento;"Administración de materiales
Distribución física de mercancías
 Control de inventarios";En este trabajo se investiga la aplicación de desfase entre llegada de materia prima e inicio de la producción con el objeto de reducir costos al utilizar área restringida de almacenamiento compartida entre materias primas y productos determinados. Se determina que el costo total es función de calidad y esta a su vez es función del desfase usado. Aplicando condiciones de Kunt-Tucker (K-T) se determina tanto cantidad como desfase optimo que minimiza el costo;2012;2012;Español;0;González Rodríguez, Leonardo José;González-Rodríguez, Leonardo;González-Rodríguez, Le.;;;Modelos Matemáticos Aplicados a la Industria MMAI
3;Duarte Forero, Edgar;Duarte-Forero, Edgar;Duarte-Forero, Ed;Duarte-Forero, Ed.;Duarte-Forero, Ed.;Modelo para el sistema de transporte publico de la ciudad de Bogota , D.C., basado en dinamica de sistemas ;"Sistemas dinámicos diferenciales
Análisis de sistemas
Ingeniería de transporte
Transporte urbanos";En presenta la construcción de un sistema dinámico que permite modelar el transporte en la ciudad de Bogotá D.C. Esta construcción parte por la conformación de un marco teórico extensivo hacia otras áreas de conocimiento como la ingeniería de tráfico y la planificación del transporte. Siguiendo con la metodología de la dinámica de sistemas, se realiza una inmersión en las problemáticas del transporte en Bogotá, para lo cual se hace un barrido por su evolución histórica y se profundiza en el análisis y caracterización de los principales actores presentes en este contexto;2012;2012;Español;3;Méndez Giraldo, Germán Andrés;Méndez-Giraldo, Germán;Méndez-Giraldo, Ge.;Guadarrama Gonzales, Pablo;Guadarrama-Gonzales, Pa.;SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES)
4;Forero Castro, Juan David;Forero-Castro, Juan David;Forero-Castro, Ju;Forero-Castro, Ju.;Forero-Castro, Ju.;Propuesta de resolución de problemas en ambientes Job Shop con máquinas no disponibles y tiempos de interrupciones no programadas;"Programación – Administración
Planificación de la producción
Programación lineal";Se propone resolver el problema de secuenciación de operaciones en ambientes Job Shop con recursos (Maquinas) no disponibles y tiempos de interrupciones no programadas. El problema ISSP dentro de su planteamiento supone que todos los recursos máquinas están disponibles al momento de ejecutar el plan de trabajo. El plan de trabajo debe tener en cuenta los tiempos de terminación de las maquinas en el plan que está ejecutando, y estos se deben incluir en la planificación del nuevo problema;2012;2012;Español;0;Calvo Londoño, Jorge Mario;Calvo-Londoño, Jorge;Calvo-Londoño, Jo.; Pérez Castillo, José Nelson;Perez-Castillo, Jo.;Otros
5;Galindo Herrera, Carlos Fernando;Galindo-Herrera, Carlos Fernando;Galindo-Herrera, Ca;Galindo-Herrera, Ca.;Galindo-Herrera, Ca.;Diseño y desarrollo de un modelo dinamico para aumentar la confianza de inversion en portafolios de renta variabe;"Sistemas difusos
Análisis de inversiones
Inversiones extranjeras
Inversiones";"En el proyecto se diseñó y desarrolló un modelo dinámico para aumentar la confianza de inversión en portafolios de renta variable, analizando en primera instancia, el mercado de valores, los portafolios de inversión; basándose en el modelo de selección de cartera de Markowitz y bajo el análisis técnico de los mercados financieros";2012;2012;Español;0;Méndez Giraldo, Germán Andrés;Méndez-Giraldo, Germán;Méndez-Giraldo, Ge.;;;SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES)
6;Gonzáles Sandoval, Andrea;Gonzáles-Sandoval, Andrea;Gonzáles-Sandoval, An;Gonzáles-Sandoval, An.;Gonzáles-Sandoval, An.; Negociación de contratos de capitación entre EPS E IPS desde el modelo de compatibilidad de incentivos en teoría de juegos;"Gestión de negocios
Sistema general de seguridad social en salud
Empresas promotoras de salud
Salud publica";En la oferta de servicios de salud en Colombia participan varios actores, los encargados del aseguramiento, tales como las Empresas Promotoras de Salud (EPS) y las Aseguradoras de Riesgos Profesionales (ARP) y los que prestan servicios de salud (IPS). La negociación entre estos actores se enmarca en contratos que de acuerdo al tipo de pago pueden ser por: evento, caso integral del conjunto de atenciones, tipo presupuestal y capitación. Este último es precisamente el objeto de estudio en la investigación, dado que se maneja un grado alto de incertidumbre y transferencia de riesgo. El trabajo aquí estructurado, plantea una solución óptima al problema de la negociación en términos de utilidad medida en % de la UPC, entre EPS e IPS, bajo las diferentes combinaciones de jugadores y estrategias. Para este estudio se recopilo información de los años 2005 a 2010 del sistema integral de información de la protección social, bases de datos de la secretaria de distrital de salud, DANE, ACEMI;2012;2012;Español;0;Meza Álvarez, Joaquín Javier ;Meza-Álvarez, Joaquín;Meza-Álvarez, Jo.;;;Modelación en Ingeniería de Sistemas (MIS)
7;Navarro Alvarado, Ricardo.;Navarro-Alvarado, Ricardo.;Navarro-Alvarado, Ri;Navarro-Alvarado, Ri.;Navarro-Alvarado, Ri.;Prototipo para la solución de control de presión de una caldera pirotubular mediante computación inteligente;"Sistemas difusos
Redes neuronales – Computadores
Calderas de vapor";"En el proyecto se diseñó un prototipo de software de control, bajo la técnica de inteligencia computacional para el control del funcionamiento de una caldera; se describe el proceso de desarrollo del software de control, describiendo el comportamiento de las variantes, como el funcionamiento de estas no es lineal y además existe un grado de incertidumbre y se necesita tomar decisiones, la lógica difusa es el paradigma para la programación de este software de control";2012;2012;Español;0;Meza Álvarez, Joaquín Javier ;Meza-Álvarez, Joaquín;Meza-Álvarez, Jo.;;;Modelación en Ingeniería de Sistemas (MIS)
8;Ochoa Rodríguez, Julio Fernando;Ochoa-Rodríguez, Julio Fernando;Ochoa-Rodríguez, Ju;Ochoa-Rodríguez, Ju.;Ochoa-Rodríguez, Ju.;Condiciones de trabajo y salud ocupacional de la población agrícola del Municipio de Chipaque Cundinamarca;"Salud ocupacional
Desarrollo agrícola
Campesinos
Accidentes de trabajo – Mediciones";En Colombia la salud pública se concibe como el conjunto de políticas que buscan garantizar de manera integrada la salud de la población, por medio de acciones individuales y colectivas, con base en que estos resultados constituyen un indicador de calidad de vida, bienestar y desarrollo de un país. En este proyecto se determina el vector decisión, mediante la modelación estadística de las condiciones de trabajo y de salud para identificar las variables con mayor incidencia en la generación de accidentes laborales y determina la probabilidad de ocurrencia;2012;2012;Español;0;Vega, Agustín;;Vega, Ag.;;;BIBLIOTECA VIRTUAL
9; Olea Suárez, Doris Marlene;Olea-Suárez, Doris Marlene;Olea-Suárez, Do;Olea-Suárez, Do.;Olea-Suárez, Do.;Modelo de cooperación inter-empresarial  Una estrategia de desarrollo para el tejido productivo de Bogotá Ciudad-Región. Estudio de casos: satélites de confección en la Localidad de Usme;"Organización industrial
Cambio organizacional
Industria textil";En Colombia, en los últimos años, se han ido generando diversos modelos de producción por desagregación de procesos a través de talleres a fin de lograr una productividad y competitividad individual en los mercados nacionales e internacionales. Concibiéndose negociaciones, que establecen como prioridad, entre otras, la reducción de costos directos de fabricación, tales como la mano de obra (o destajo o por producción realizada). El propósito del proyecto es determinar un modelo de cooperación inter-empresarial para la transformación de unidades satélites de la confección, en la perspectiva de fortaleceré el tejido productivo en la Localidad de Usme – Bogotá;2012;2012;Español;0; Vergara, Roberto;;Vergara, Ro.;;;Grupo internacional en informática y comunicaciones para la gestión del conocimiento GICOGE
10; Pantoja Rojas, Liliana María;Pantoja-Rojas, Liliana María;Pantoja-Rojas, Li;Pantoja-Rojas, Li.;Pantoja-Rojas, Li.;Contraste de técnicas, métodos y modelos de pronóstico del contagio de la tuberculosis para evaluar propuestas de reducción de la infección;"Informática médica
Medicina - Procesamiento electrónico de datos
Tuberculosis pulmonar
Medicina";"Teniendo en cuenta la dinámica, el comportamiento y evolución de la tuberculosis en la Localidad de Usme (Bogotá) y la contribución que la ingeniería puede tener para su reducción, el presente estudio se centra en la posibilidad de crear medios tecnológicos que se encuentren al servicio del sector social de la salud, creando herramientas a partir de la ingeniería que sirvan de asesoría para los entes de cuidado y control de la salud; de ahí la pertinencia de la inclusión de avances tecnológicos y el planteamiento de modelos matemáticos y estadísticos, que colaboren y contribuyan en la prevención de enfermedades como la tuberculosis y que permitan encontrar alternativas de diagnóstico más rápida y eficiente; es por ello, que el propósito de esta investigación es analizar los resultados obtenidos a partir del estudio del contraste de técnicas, métodos y modelos de pronósticos del contagio de la tuberculosis para evaluar propuestas de reducción de la infección";2012;2012;Español;0; Pinzón Rueda, Wilson Alexander;Pinzón-Rueda, Wilson;Pinzón-Rueda, Wi.;;;Armonico
